"Region","Country","Type","Category","Year","Value_TWh","Source","AnnualProduction","FractionOfAnnualProduction"
"China","China","Coal","Fossil generation",2000,1034.310436,"Estimate",1319.101492,0.7841022410124
"China","China","Coal","Fossil generation",2001,1120.039759,"Estimate",1463.930879,0.765090603024298
"China","China","Coal","Fossil generation",2002,1264.724054,"Estimate",1634.136803,0.77394013259978
"China","China","Coal","Fossil generation",2003,1467.811272,"Estimate",1858.611855,0.789735236031839
"China","China","Coal","Fossil generation",2004,1684.861509,"Estimate",2160.980086,0.779674704045376
"China","China","Coal","Fossil generation",2005,1890.023667,"Estimate",2421.428641,0.780540725007473
"China","China","Coal","Fossil generation",2006,2207.127934,"Estimate",2780.611087,0.793756431569605
"China","China","Coal","Fossil generation",2007,2571.080178,"Estimate",3227.071817,0.796722330273445
"China","China","Coal","Fossil generation",2008,2651.488896,"Estimate",3431.350811,0.772724516391629
"China","China","Coal","Fossil generation",2009,2866.547,"China Electricity Council (CEC)",3674.899,0.780034226790995
"China","China","Coal","Fossil generation",2010,3260.754,"China Electricity Council (CEC)",4225.469,0.771690432470336
"China","China","Coal","Fossil generation",2011,3696.1,"China Electricity Council (CEC)",4719.4,0.783171589608849
"China","China","Coal","Fossil generation",2012,3713.1,"China Electricity Council (CEC)",4986.48,0.744633488954132
"China","China","Coal","Fossil generation",2013,3980.5,"China Electricity Council (CEC)",5372.18,0.740946878176085
"China","China","Coal","Fossil generation",2014,3951,"China Electricity Council (CEC)",5604.5,0.704969221161567
"China","China","Coal","Fossil generation",2015,3897.7,"China Electricity Council (CEC)",5740,0.67904181184669
"China","China","Coal","Fossil generation",2016,3945.7,"China Electricity Council (CEC)",6022.8,0.655127183369861
"China","China","Coal","Fossil generation",2017,4178.2,"China Electricity Council (CEC)",6448.7,0.647913532960132
"China","China","Coal","Fossil generation",2018,4482.9,"China Electricity Council (CEC)",6996.2,0.64076212801235
"China","China","Coal","Fossil generation",2019,4560,"China Electricity Council (CEC)",7325.2,0.622508600447769
"China","China","Gas","Fossil generation",2000,20.40767653,"Estimate",1319.101492,0.0154708918561363
"China","China","Gas","Fossil generation",2001,22.09917672,"Estimate",1463.930879,0.0150957787946216
"China","China","Gas","Fossil generation",2002,24.9539002,"Estimate",1634.136803,0.0152703862701023
"China","China","Gas","Fossil generation",2003,28.96095466,"Estimate",1858.611855,0.0155820348299672
"China","China","Gas","Fossil generation",2004,33.24350938,"Estimate",2160.980086,0.0153835334232691
